1,PLUMBING,Fix pipe leaks,2024-01-10 10:00:00,Leaky pipes under the sink,2024-01-15 09:00:00,2024-01-17 18:00:00,150.50,true,PENDING,2024-01-15 09:00:00,2024-01-17 16:30:00
2,PAINTING,Paint the walls,2024-01-12 11:00:00,Repaint the living room,2024-01-20 08:00:00,2024-01-21 17:00:00,200.00,true,PENDING,2024-01-20 08:00:00,2024-01-21 17:00:00
3,FRAMES,Replace window frames,2024-02-05 13:15:00,Install new wooden frames,2024-02-10 09:00:00,2024-02-12 16:00:00,700.00,true,INPROGRESS,2024-02-10 09:00:00,2024-02-12 16:00:00
4,ELECTRICALWORK,Rewire electrical system,2024-03-10 08:00:00,Upgrade wiring in house,2024-03-12 09:00:00,2024-03-14 18:00:00,1200.00,true,COMPLETE,2024-03-12 09:00:00,2024-03-14 16:30:00
5,PLUMBING,Fix water heater,2024-04-01 10:00:00,Repair broken water heater,2024-04-05 09:00:00,2024-04-06 18:00:00,400.00,true,PENDING,2024-04-05 09:00:00,2024-04-06 17:00:00
6,INSULATION,Wall insulation,2024-05-15 09:00:00,Add insulation to exterior walls,2024-05-20 10:00:00,2024-05-22 18:00:00,600.00,true,INPROGRESS,2024-05-20 10:00:00,2024-05-22 18:00:00
7,FRAMES,Install door frames,2024-06-01 08:30:00,Replace door frames in house,2024-06-10 09:00:00,2024-06-12 16:00:00,800.00,true,PENDING,2024-06-10 09:00:00,2024-06-12 16:00:00
8,ELECTRICALWORK,Install new lights,2024-06-05 07:45:00,Install LED lights,2024-06-08 08:00:00,2024-06-09 18:00:00,300.00,true,INPROGRESS,2024-06-08 08:00:00,2024-06-09 18:00:00
9,PLUMBING,Unclog drains,2024-07-01 09:00:00,Unclog kitchen and bathroom drains,2024-07-03 10:00:00,2024-07-04 17:00:00,100.00,true,PENDING,2024-07-03 10:00:00,2024-07-04 17:00:00
10,PAINTING,Exterior painting,2024-07-10 12:00:00,Paint the exterior of the house,2024-07-15 08:00:00,2024-07-17 17:00:00,1000.00,true,INPROGRESS,2024-07-15 08:00:00,2024-07-17 17:00:00
11,FRAMES,Replace window panes,2024-08-12 09:15:00,Replace broken window panes,2024-08-20 09:00:00,2024-08-21 17:00:00,850.00,true,PENDING,2024-08-20 09:00:00,2024-08-21 17:00:00
12,ELECTRICALWORK,Install ceiling fans,2024-09-01 07:45:00,Install ceiling fans in bedrooms,2024-09-05 08:00:00,2024-09-07 18:00:00,450.00,true,PENDING,2024-09-05 08:00:00,2024-09-07 18:00:00
13,PLUMBING,Install new pipes,2024-09-10 09:30:00,Replace old pipes in the bathroom,2024-09-12 10:00:00,2024-09-13 16:30:00,500.00,true,COMPLETE,2024-09-12 10:00:00,2024-09-13 16:30:00
14,PAINTING,Paint living room,2024-10-01 12:00:00,Repaint living room walls,2024-10-05 08:00:00,2024-10-07 17:00:00,300.00,true,PENDING,2024-10-05 08:00:00,2024-10-07 17:00:00
15,INSULATION,Basement insulation,2024-10-15 09:00:00,Add insulation to the basement,2024-10-20 10:00:00,2024-10-22 18:00:00,600.00,true,INPROGRESS,2024-10-20 10:00:00,2024-10-22 18:00:00
16,FRAMES,Replace door locks,2024-11-01 08:30:00,Install new locks on doors,2024-11-05 09:00:00,2024-11-06 16:00:00,250.00,true,PENDING,2024-11-05 09:00:00,2024-11-06 16:00:00
17,ELECTRICALWORK,Upgrade fuse box,2024-12-01 07:45:00,Upgrade fuse box to modern standards,2024-12-08 08:00:00,2024-12-09 18:00:00,900.00,true,COMPLETE,2024-12-08 08:00:00,2024-12-09 18:00:00
